target,model,feature,importance
glucose_abnormal,random_forest,ecg_lf_power,0.05588062165545219
glucose_abnormal,random_forest,ecg_hf_power,0.04866151343948454
glucose_abnormal,random_forest,ecg_vlf_norm,0.0
glucose_abnormal,random_forest,ecg_lf_norm,0.052022213635282324
glucose_abnormal,random_forest,ecg_hf_norm,0.04012629340586086
glucose_abnormal,random_forest,ecg_lf_hf_ratio,0.062119509413744285
glucose_abnormal,random_forest,ecg_spectral_centroid,0.07252036333351666
glucose_abnormal,mlp,hr,0.0
glucose_abnormal,mlp,sdnn,0.0
glucose_abnormal,mlp,rmssd,0.0
glucose_abnormal,mlp,pnn50,0.0
glucose_abnormal,mlp,n_rr,0.0
glucose_abnormal,mlp,ecg_max,0.0
glucose_abnormal,mlp,ecg_min,0.0
glucose_abnormal,mlp,ecg_ptp,0.0
glucose_abnormal,mlp,ecg_rms,0.0
glucose_abnormal,mlp,ecg_skewness,0.0
glucose_abnormal,mlp,ecg_kurtosis,0.0
glucose_abnormal,mlp,ecg_zero_crossing_rate,0.0
glucose_abnormal,mlp,ecg_mean_abs,0.0
glucose_abnormal,mlp,ecg_total_power,0.0
glucose_abnormal,mlp,ecg_vlf_power,0.0
glucose_abnormal,mlp,ecg_lf_power,0.0
glucose_abnormal,mlp,ecg_hf_power,0.0
glucose_abnormal,mlp,ecg_vlf_norm,0.0
glucose_abnormal,mlp,ecg_lf_norm,0.0
glucose_abnormal,mlp,ecg_hf_norm,0.0
glucose_abnormal,mlp,ecg_lf_hf_ratio,0.0
glucose_abnormal,mlp,ecg_spectral_centroid,0.0
po2_abnormal,logistic_l2,hr,0.4975704466027994
po2_abnormal,logistic_l2,sdnn,0.04743123548517054
po2_abnormal,logistic_l2,rmssd,0.024539096951010527
po2_abnormal,logistic_l2,pnn50,0.016911301903900642
po2_abnormal,logistic_l2,n_rr,0.46750029761112666
po2_abnormal,logistic_l2,ecg_max,0.41464846629070207
po2_abnormal,logistic_l2,ecg_min,0.08577289319998932
po2_abnormal,logistic_l2,ecg_ptp,0.39981837808905063
po2_abnormal,logistic_l2,ecg_rms,0.17190948412865198
po2_abnormal,logistic_l2,ecg_skewness,0.030205193960048428
po2_abnormal,logistic_l2,ecg_kurtosis,0.5782813436729523
po2_abnormal,logistic_l2,ecg_zero_crossing_rate,0.022051667546103416
po2_abnormal,logistic_l2,ecg_mean_abs,0.11000380920297816
po2_abnormal,logistic_l2,ecg_total_power,0.12412954421171911
po2_abnormal,logistic_l2,ecg_vlf_power,0.0
po2_abnormal,logistic_l2,ecg_lf_power,0.24191171853965254
po2_abnormal,logistic_l2,ecg_hf_power,0.4014120515692216
po2_abnormal,logistic_l2,ecg_vlf_norm,0.0
po2_abnormal,logistic_l2,ecg_lf_norm,0.17271705581941288
po2_abnormal,logistic_l2,ecg_hf_norm,0.48397194880832095
po2_abnormal,logistic_l2,ecg_lf_hf_ratio,0.00010338110478903503
po2_abnormal,logistic_l2,ecg_spectral_centroid,0.5110512949404585
po2_abnormal,logistic_l1,hr,0.4340853691101074
po2_abnormal,logistic_l1,sdnn,0.050673212856054306
po2_abnormal,logistic_l1,rmssd,0.004411178175359964
po2_abnormal,logistic_l1,pnn50,0.0
po2_abnormal,logistic_l1,n_rr,0.3783423900604248
po2_abnormal,logistic_l1,ecg_max,0.2019493579864502
po2_abnormal,logistic_l1,ecg_min,0.0
po2_abnormal,logistic_l1,ecg_ptp,0.4134098291397095
po2_abnormal,logistic_l1,ecg_rms,0.15505164861679077
po2_abnormal,logistic_l1,ecg_skewness,0.0
po2_abnormal,logistic_l1,ecg_kurtosis,0.4048549234867096
po2_abnormal,logistic_l1,ecg_zero_crossing_rate,0.0
po2_abnormal,logistic_l1,ecg_mean_abs,0.07199838012456894
po2_abnormal,logistic_l1,ecg_total_power,0.10353653132915497
po2_abnormal,logistic_l1,ecg_vlf_power,0.0
po2_abnormal,logistic_l1,ecg_lf_power,0.19135770201683044
po2_abnormal,logistic_l1,ecg_hf_power,0.28168684244155884
po2_abnormal,logistic_l1,ecg_vlf_norm,0.0
po2_abnormal,logistic_l1,ecg_lf_norm,0.08350173383951187
po2_abnormal,logistic_l1,ecg_hf_norm,0.34258589148521423
po2_abnormal,logistic_l1,ecg_lf_hf_ratio,0.010002773255109787
po2_abnormal,logistic_l1,ecg_spectral_centroid,0.42526593804359436
po2_abnormal,random_forest,hr,0.06280214920118597
po2_abnormal,random_forest,sdnn,0.04874993518812393
po2_abnormal,random_forest,rmssd,0.036334181070736826
